playground_size,mpi_task,runtime
1000,1,2.465998
1000,1,2.462105
1000,1,2.693703
1000,1,2.462286
1000,1,2.460559
1000,2,1.960357
1000,2,1.960938
1000,2,1.961896
1000,2,1.962116
1000,2,1.958291
1000,3,1.652136
1000,3,1.649746
1000,3,1.650787
1000,3,1.649143
1000,3,1.652443
1000,4,1.494093
1000,4,1.494407
1000,4,1.501475
1000,4,1.498252
1000,4,1.493496
1000,5,1.844147
1000,5,1.842807
1000,5,1.849836
1000,5,1.912031
1000,5,1.912993
1000,6,1.848232
1000,6,1.896749
1000,6,1.865711
1000,6,1.894024
1000,6,1.850134
1000,7,1.872991
1000,7,1.852102
1000,7,1.892601
1000,7,1.851848
1000,7,1.905291
1000,8,1.106074
1000,8,1.067123
1000,8,1.054513
1000,8,1.075601
1000,8,1.025301
5000,1,61.715423
5000,1,61.792702
5000,1,61.718414
5000,1,61.714607
5000,1,61.740534
5000,2,23.176399
5000,2,23.177202
5000,2,23.165548
5000,2,23.162715
5000,2,23.168502
5000,3,25.481173
5000,3,25.499696
5000,3,25.890989
5000,3,25.483229
5000,3,25.476924
5000,4,21.632157
5000,4,21.637808
5000,4,21.627968
5000,4,21.628609
5000,4,21.633365
5000,5,29.036203
5000,5,29.089623
5000,5,28.988545
5000,5,29.058042
5000,5,29.029754
5000,6,25.864622
5000,6,25.852956
5000,6,25.842874
5000,6,25.856205
5000,6,25.809708
5000,7,23.701248
5000,7,23.683717
5000,7,23.698245
5000,7,23.671511
5000,7,23.672994
5000,8,22.135926
5000,8,22.125073
5000,8,22.134531
5000,8,22.130767
5000,8,22.169943
10000,1,246.924809
10000,1,247.006317
10000,1,246.971142
10000,1,247.033802
10000,1,247.031244
10000,2,152.562482
10000,2,152.521957
10000,2,152.685919
10000,2,152.687518
10000,2,152.614939
10000,3,151.830562
10000,3,151.844566
10000,3,151.871888
10000,3,151.795484
10000,3,151.785636
10000,4,156.419594
10000,4,156.385081
10000,4,156.415229
10000,4,156.402802
10000,4,156.391799
10000,5,154.895966
10000,5,154.939978
10000,5,154.912377
10000,5,154.931545
10000,5,154.936697
10000,6,152.345813
10000,6,152.293684
10000,6,152.258513
10000,6,152.248926
10000,6,152.286946
10000,7,153.509058
10000,7,153.493587
10000,7,153.503661
10000,7,153.523372
10000,7,153.523147
10000,8,157.107927
10000,8,157.165042
10000,8,157.151193
10000,8,157.140395
10000,8,157.103877
