threads,runtime,GFLOPS
1,22.78236157,90.586947
1,22.88093511,90.546520
1,22.148948752,90.297739
1,22.121608558,90.409339
1,22.362264363,89.436381
2,12.299128313,162.613150
2,12.182212422,164.173791
2,12.283044823,162.826077
2,12.288924332,162.748174
2,12.195540308,163.994374
3,8.2985062,249.906752
3,8.9763216,249.695271
3,8.73568453,247.721935
3,8.53650910,248.334578
3,8.10274682,249.679328
4,6.78935343,329.004980
4,6.30140086,331.667253
4,6.23857779,332.013151
4,5.997111722,333.493871
4,5.888729796,339.631817
5,4.727717220,423.037146
5,4.779594333,418.445554
5,4.723172041,423.444241
5,4.797790560,416.858547
5,4.735625142,422.330725
6,3.994458838,500.693606
6,3.993467428,500.817907
6,3.989885653,501.267498
6,4.420755,499.947411
6,4.52132769,493.567243
7,3.434621049,582.305871
7,3.437452525,581.826217
7,3.428995892,583.261125
7,3.439712490,581.443945
7,3.396114448,588.908304
8,2.896660145,690.450346
8,2.881991209,693.964643
8,2.895363969,690.759442
8,2.895724180,690.673516
8,2.920664480,684.775678
9,2.591538794,771.742258
9,2.550886906,784.041031
9,2.550507938,784.157528
9,2.620403372,763.241271
9,2.635510889,758.866149
10,2.398668892,833.795780
10,2.448969554,816.670014
10,2.440476288,819.512162
10,2.443030527,818.655345
10,2.442845394,818.717388
11,2.110327539,947.720182
11,2.126052688,940.710459
11,2.173135178,920.329311
11,2.241657188,892.197081
11,2.234049641,895.235255
12,1.994644321,1002.685030
12,1.932066611,1035.160997
12,2.54478819,973.482901
12,2.91150189,956.411457
12,2.87963319,957.871234
13,1.770025414,1129.927279
13,1.820190156,1098.786296
13,1.918111466,1042.692271
13,1.831645797,1091.914170
13,1.781625658,1122.570272
14,1.733093039,1154.006135
14,1.788175120,1118.458689
14,1.657056286,1206.959605
14,1.705928310,1172.382209
14,1.786399372,1119.570479
15,1.540980958,1297.874571
15,1.617896856,1236.172746
15,1.679332067,1190.949687
15,1.547590576,1292.331467
15,1.561324386,1280.963788
16,1.580599666,1265.342542
16,1.452097804,1377.317695
16,1.538819143,1299.697894
16,1.575608008,1269.351254
16,1.449391395,1379.889523
17,1.477519364,1353.620161
17,1.427420654,1401.128668
17,1.371448398,1458.312251
17,1.506039834,1327.986123
17,1.369056002,1460.860620
18,1.367558744,1462.460029
18,1.357208900,1473.612500
18,1.295642599,1543.635569
18,1.449964734,1379.343892
18,1.293224602,1546.521770
19,1.292372222,1547.541773
19,1.268060515,1577.211794
19,1.217629514,1642.535744
19,1.359888275,1470.709055
19,1.220694675,1638.411341
20,1.340709105,1491.747906
20,1.192525776,1677.112596
20,1.275096502,1568.508734
20,1.233350131,1621.599536
20,1.173039200,1704.972860
21,1.175462226,1701.458333
21,1.106554361,1807.412334
21,1.249297392,1600.899844
21,1.103824769,1811.881792
21,1.260926206,1586.135644
22,1.87095694,1839.764439
22,1.181428654,1692.865662
22,1.84078292,1844.885203
22,1.110919747,1800.310063
22,1.89782395,1835.228766
23,1.34822015,1932.699509
23,1.82413161,1847.723284
23,1.21625720,1957.664104
23,1.91692727,1832.017335
23,1.33182866,1935.765745
24,1.9090003,1981.983762
24,1.5041045,1989.968479
24,1.21676914,1957.566010
24,1.8056347,1984.016078
24,1.25652809,1949.977597
